connectionId,positive_similarity_results,negative_similarity_results
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,"{'productief': {'n_occurrences': 2, 'pairwise_sims': [0.9489548582627166], 'mean_sim': np.float64(0.9489548582627166)}}",{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.9031937666253163], 'mean_sim': np.float64(0.9031937666253163)}}",{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,"{'trots': {'n_occurrences': 4, 'pairwise_sims': [0.9020208042703871, 0.9045186112085405, 0.8956829682853306, 0.8842549146994135, 0.9598337385420924, 0.8859527544172182], 'mean_sim': np.float64(0.905377298570497)}}",{}
179067,{},{}
179067,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.8501535574749052], 'mean_sim': np.float64(0.8501535574749052)}, 'blij': {'n_occurrences': 2, 'pairwise_sims': [0.8708165504051205], 'mean_sim': np.float64(0.8708165504051205)}}",{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,"{'goed': {'n_occurrences': 3, 'pairwise_sims': [0.9198896941175091, 0.8373205190970551, 0.8793448224851272], 'mean_sim': np.float64(0.8788516785665639)}}","{'raken': {'n_occurrences': 2, 'pairwise_sims': [0.9080675935829742], 'mean_sim': np.float64(0.9080675935829742)}}"
179067,{},{}
179067,"{'goed': {'n_occurrences': 3, 'pairwise_sims': [0.903429899312244, 0.8740074881139495, 0.8700116638317168], 'mean_sim': np.float64(0.8824830170859701)}}","{'kapot': {'n_occurrences': 2, 'pairwise_sims': [0.922779416094087], 'mean_sim': np.float64(0.922779416094087)}}"
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.8484332244090307], 'mean_sim': np.float64(0.8484332244090307)}}",{}
179067,{},{}
179067,{},{}
179067,{},"{'irriteren': {'n_occurrences': 2, 'pairwise_sims': [0.9203696350105888], 'mean_sim': np.float64(0.9203696350105888)}}"
179067,{},{}
179067,{},{}
179067,{},{}
179067,"{'lekker': {'n_occurrences': 2, 'pairwise_sims': [0.8779855180289345], 'mean_sim': np.float64(0.8779855180289345)}, 'chillen': {'n_occurrences': 2, 'pairwise_sims': [0.9474223763553521], 'mean_sim': np.float64(0.9474223763553521)}, 'goed': {'n_occurrences': 2, 'pairwise_sims': [0.9463818745890916], 'mean_sim': np.float64(0.9463818745890916)}}",{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.8373785386332473], 'mean_sim': np.float64(0.8373785386332473)}}",{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},"{'verschrikkelijk': {'n_occurrences': 2, 'pairwise_sims': [0.871525661949049], 'mean_sim': np.float64(0.871525661949049)}}"
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.8218850736019657], 'mean_sim': np.float64(0.8218850736019657)}}",{}
179067,{},{}
179067,"{'blij': {'n_occurrences': 2, 'pairwise_sims': [0.9872520746306318], 'mean_sim': np.float64(0.9872520746306318)}}",{}
179067,{},{}
179067,"{'spontaan': {'n_occurrences': 2, 'pairwise_sims': [0.9059743186657714], 'mean_sim': np.float64(0.9059743186657714)}}",{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,"{'energie': {'n_occurrences': 2, 'pairwise_sims': [0.9439537128121506], 'mean_sim': np.float64(0.9439537128121506)}}",{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,"{'leuk': {'n_occurrences': 2, 'pairwise_sims': [0.8949166082698468], 'mean_sim': np.float64(0.8949166082698468)}}",{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,"{'blij': {'n_occurrences': 2, 'pairwise_sims': [0.975360232303442], 'mean_sim': np.float64(0.975360232303442)}}",{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},"{'raken': {'n_occurrences': 2, 'pairwise_sims': [0.9017893782536455], 'mean_sim': np.float64(0.9017893782536455)}}"
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.910761582645613], 'mean_sim': np.float64(0.910761582645613)}}",{}
179067,"{'leuk': {'n_occurrences': 2, 'pairwise_sims': [0.8097422210272063], 'mean_sim': np.float64(0.8097422210272063)}}",{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,"{'leuk': {'n_occurrences': 2, 'pairwise_sims': [0.9243801003134886], 'mean_sim': np.float64(0.9243801003134886)}}",{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,"{'tof': {'n_occurrences': 2, 'pairwise_sims': [0.907021104036304], 'mean_sim': np.float64(0.907021104036304)}}",{}
179067,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.8458312681660588], 'mean_sim': np.float64(0.8458312681660588)}}","{'slecht': {'n_occurrences': 2, 'pairwise_sims': [0.9244512606916884], 'mean_sim': np.float64(0.9244512606916884)}}"
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179067,{},{}
179076,"{'rustig': {'n_occurrences': 4, 'pairwise_sims': [0.9595110180587801, 0.918332785813295, 0.944856850737378, 0.9252504719518436, 0.9428619663840915, 0.9107469703409697], 'mean_sim': np.float64(0.9335933438810596)}}",{}
179076,"{'oké': {'n_occurrences': 2, 'pairwise_sims': [0.8852134357843745], 'mean_sim': np.float64(0.8852134357843745)}}",{}
179076,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.9049951288197972], 'mean_sim': np.float64(0.9049951288197972)}, 'energie': {'n_occurrences': 2, 'pairwise_sims': [0.9697668619532194], 'mean_sim': np.float64(0.9697668619532194)}, 'hopen': {'n_occurrences': 2, 'pairwise_sims': [0.9746843734426578], 'mean_sim': np.float64(0.9746843734426578)}}","{'chaotisch': {'n_occurrences': 2, 'pairwise_sims': [0.9592879560936656], 'mean_sim': np.float64(0.9592879560936656)}}"
179076,"{'goesting': {'n_occurrences': 2, 'pairwise_sims': [0.9049856884269073], 'mean_sim': np.float64(0.9049856884269073)}}",{}
179076,{},{}
179076,"{'leuk': {'n_occurrences': 2, 'pairwise_sims': [0.9568747022645996], 'mean_sim': np.float64(0.9568747022645996)}, 'goesting': {'n_occurrences': 2, 'pairwise_sims': [0.9618278186283122], 'mean_sim': np.float64(0.9618278186283122)}}",{}
179076,{},{}
179076,"{'leuk': {'n_occurrences': 2, 'pairwise_sims': [0.9318241530491369], 'mean_sim': np.float64(0.9318241530491369)}, 'goed': {'n_occurrences': 2, 'pairwise_sims': [0.8636463441734055], 'mean_sim': np.float64(0.8636463441734055)}}",{}
