connectionId,positive_similarity_results,negative_similarity_results
179910,{},{}
179910,{},{}
179910,{},{}
179910,{},{}
179910,"{'zin': {'n_occurrences': 3, 'pairwise_sims': [0.956530587326347, 0.9255049456491786, 0.9362164704278055], 'mean_sim': np.float64(0.9394173344677771)}}",{}
179910,"{'gezellig': {'n_occurrences': 2, 'pairwise_sims': [0.9237899024384507], 'mean_sim': np.float64(0.9237899024384507)}}",{}
179910,"{'gezellig': {'n_occurrences': 2, 'pairwise_sims': [0.9039585614861946], 'mean_sim': np.float64(0.9039585614861946)}}",{}
179910,"{'gezellig': {'n_occurrences': 2, 'pairwise_sims': [0.9424492138854123], 'mean_sim': np.float64(0.9424492138854123)}, 'blij': {'n_occurrences': 2, 'pairwise_sims': [0.9414501737774699], 'mean_sim': np.float64(0.9414501737774699)}, 'goed': {'n_occurrences': 2, 'pairwise_sims': [0.899898330679278], 'mean_sim': np.float64(0.899898330679278)}}","{'lastig': {'n_occurrences': 2, 'pairwise_sims': [0.8764649037480259], 'mean_sim': np.float64(0.8764649037480259)}}"
179910,"{'goed': {'n_occurrences': 4, 'pairwise_sims': [0.792704394186438, 0.758430844502651, 0.8046558522709379, 0.8622169308196048, 0.9656857215096711, 0.8677746884148477], 'mean_sim': np.float64(0.8419114052840251)}}",{}
179910,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.8374893483117604], 'mean_sim': np.float64(0.8374893483117604)}}",{}
179910,"{'goed': {'n_occurrences': 3, 'pairwise_sims': [0.8439925205696341, 0.889884036142162, 0.8602567064330642], 'mean_sim': np.float64(0.8647110877149534)}, 'gezellig': {'n_occurrences': 2, 'pairwise_sims': [0.8602927037638863], 'mean_sim': np.float64(0.8602927037638863)}, 'zin': {'n_occurrences': 2, 'pairwise_sims': [0.9417346710768086], 'mean_sim': np.float64(0.9417346710768086)}}",{}
179910,{},{}
179910,{},{}
179910,{},{}
179910,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.912246646009232], 'mean_sim': np.float64(0.912246646009232)}}",{}
179910,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.8959881691908125], 'mean_sim': np.float64(0.8959881691908125)}, 'energie': {'n_occurrences': 2, 'pairwise_sims': [0.9344441841444658], 'mean_sim': np.float64(0.9344441841444658)}}",{}
179910,{},{}
179910,"{'goed': {'n_occurrences': 3, 'pairwise_sims': [0.8897929767003965, 0.9418165043388731, 0.8830945068377518], 'mean_sim': np.float64(0.9049013292923404)}}","{'erg': {'n_occurrences': 2, 'pairwise_sims': [0.9701059535723746], 'mean_sim': np.float64(0.9701059535723746)}}"
179910,{},{}
179910,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.8999027938215823], 'mean_sim': np.float64(0.8999027938215823)}}",{}
179910,{},{}
179910,{},{}
179910,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.8495012667709926], 'mean_sim': np.float64(0.8495012667709926)}}",{}
179910,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.884507681361272], 'mean_sim': np.float64(0.884507681361272)}}",{}
179910,{},{}
179910,{},{}
179910,{},{}
179910,"{'gezellig': {'n_occurrences': 2, 'pairwise_sims': [0.9545370974297124], 'mean_sim': np.float64(0.9545370974297124)}}",{}
179910,{},{}
179910,{},{}
179910,{},{}
179910,"{'spannend': {'n_occurrences': 2, 'pairwise_sims': [0.9679081967546076], 'mean_sim': np.float64(0.9679081967546076)}, 'zin': {'n_occurrences': 2, 'pairwise_sims': [0.7828378484451799], 'mean_sim': np.float64(0.7828378484451799)}}",{}
179910,{},{}
179910,"{'zin': {'n_occurrences': 2, 'pairwise_sims': [0.9413323338179762], 'mean_sim': np.float64(0.9413323338179762)}}",{}
179910,{},{}
179910,{},{}
179910,"{'gezellig': {'n_occurrences': 2, 'pairwise_sims': [0.9495568638182786], 'mean_sim': np.float64(0.9495568638182786)}, 'goed': {'n_occurrences': 2, 'pairwise_sims': [0.9198153517369535], 'mean_sim': np.float64(0.9198153517369535)}, 'fijn': {'n_occurrences': 2, 'pairwise_sims': [0.908111076342415], 'mean_sim': np.float64(0.908111076342415)}}",{}
179910,"{'fijn': {'n_occurrences': 2, 'pairwise_sims': [0.9419398557686374], 'mean_sim': np.float64(0.9419398557686374)}, 'rustig': {'n_occurrences': 2, 'pairwise_sims': [0.8960887270515536], 'mean_sim': np.float64(0.8960887270515536)}}","{'erg': {'n_occurrences': 2, 'pairwise_sims': [0.9174526183866776], 'mean_sim': np.float64(0.9174526183866776)}}"
179910,"{'gezellig': {'n_occurrences': 2, 'pairwise_sims': [0.9688750399772723], 'mean_sim': np.float64(0.9688750399772723)}}",{}
179910,{},{}
179910,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.9272893428635585], 'mean_sim': np.float64(0.9272893428635585)}}",{}
179910,{},"{'erg': {'n_occurrences': 2, 'pairwise_sims': [0.8408214958297298], 'mean_sim': np.float64(0.8408214958297298)}}"
179910,{},{}
179910,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.9090155147456103], 'mean_sim': np.float64(0.9090155147456103)}}",{}
179910,"{'goed': {'n_occurrences': 3, 'pairwise_sims': [0.8011962543571415, 0.909306403716447, 0.7882971100270539], 'mean_sim': np.float64(0.8329332560335475)}}",{}
179910,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.8890268362502826], 'mean_sim': np.float64(0.8890268362502826)}}",{}
179910,{},{}
179910,"{'blij': {'n_occurrences': 2, 'pairwise_sims': [0.9769855465785394], 'mean_sim': np.float64(0.9769855465785394)}, 'goed': {'n_occurrences': 2, 'pairwise_sims': [0.9273700466774466], 'mean_sim': np.float64(0.9273700466774466)}}",{}
179910,"{'zin': {'n_occurrences': 2, 'pairwise_sims': [0.7038569787766247], 'mean_sim': np.float64(0.7038569787766247)}, 'goed': {'n_occurrences': 3, 'pairwise_sims': [0.9332549341457199, 0.8603346556188518, 0.8556327598463325], 'mean_sim': np.float64(0.8830741165369681)}}",{}
179910,"{'interessant': {'n_occurrences': 2, 'pairwise_sims': [0.9305752350920504], 'mean_sim': np.float64(0.9305752350920504)}, 'hopen': {'n_occurrences': 2, 'pairwise_sims': [0.834166071713083], 'mean_sim': np.float64(0.834166071713083)}}",{}
179910,"{'interessant': {'n_occurrences': 2, 'pairwise_sims': [0.9112756786859253], 'mean_sim': np.float64(0.9112756786859253)}}",{}
179910,"{'hopen': {'n_occurrences': 2, 'pairwise_sims': [0.9285784060356852], 'mean_sim': np.float64(0.9285784060356852)}}",{}
179910,{},{}
179910,{},{}
179910,"{'goed': {'n_occurrences': 3, 'pairwise_sims': [0.8634070164839386, 0.8266430484409556, 0.9314319116720156], 'mean_sim': np.float64(0.8738273255323032)}}",{}
179910,"{'hopen': {'n_occurrences': 2, 'pairwise_sims': [0.8703095726342474], 'mean_sim': np.float64(0.8703095726342474)}}",{}
179910,"{'goed': {'n_occurrences': 3, 'pairwise_sims': [0.8619983890260959, 0.8924427534253827, 0.8654674001882295], 'mean_sim': np.float64(0.8733028475465693)}}",{}
179910,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.8945139743620899], 'mean_sim': np.float64(0.8945139743620899)}}",{}
179910,{},{}
179910,{},{}
179910,"{'goed': {'n_occurrences': 5, 'pairwise_sims': [0.8649181933218734, 0.8393255459331119, 0.7788413120140597, 0.8736740838908068, 0.8597959146526784, 0.8265630547464596, 0.8795830259115236, 0.8160925605831401, 0.8740064377875301, 0.8315075944083423], 'mean_sim': np.float64(0.8444307723249527)}}",{}
179910,{},{}
179910,{},{}
179910,{},{}
179910,{},{}
179910,{},{}
179910,{},{}
179910,"{'leuk': {'n_occurrences': 2, 'pairwise_sims': [0.8800479668947654], 'mean_sim': np.float64(0.8800479668947654)}}",{}
179910,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.7671302159218963], 'mean_sim': np.float64(0.7671302159218963)}}",{}
179910,"{'goed': {'n_occurrences': 3, 'pairwise_sims': [0.8788715887825005, 0.8679718184173854, 0.7723180122308976], 'mean_sim': np.float64(0.8397204731435944)}}",{}
179910,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.7398356244372423], 'mean_sim': np.float64(0.7398356244372423)}}",{}
179910,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.8616222671628417], 'mean_sim': np.float64(0.8616222671628417)}}",{}
179910,"{'goed': {'n_occurrences': 6, 'pairwise_sims': [0.828709227168402, 0.9129838617917998, 0.8908172232860202, 0.8537370241616392, 0.8734860492237737, 0.8694731570322173, 0.8612855172712531, 0.9364423984615176, 0.8317272844488814, 0.9319177633234578, 0.8950051699902385, 0.9113729712878897, 0.894899940982235, 0.9309512175445868, 0.8728870066066586], 'mean_sim': np.float64(0.8863797208387046)}}",{}
179910,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.891716555439476], 'mean_sim': np.float64(0.891716555439476)}}",{}
179910,{},{}
179910,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.8762548478151946], 'mean_sim': np.float64(0.8762548478151946)}}",{}
179910,"{'goed': {'n_occurrences': 5, 'pairwise_sims': [0.9055862702884023, 0.9607722164082879, 0.8501538406557807, 0.9495864176815781, 0.9120534990253594, 0.8491482144688575, 0.9426364139737959, 0.8853440531319714, 0.943580956875115, 0.8530472507934688], 'mean_sim': np.float64(0.9051909133302619)}}",{}
179910,{},{}
179910,"{'focussen': {'n_occurrences': 2, 'pairwise_sims': [0.9486196545389375], 'mean_sim': np.float64(0.9486196545389375)}}",{}
179910,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.8371494162232307], 'mean_sim': np.float64(0.8371494162232307)}}",{}
179910,{},{}
179910,"{'interessant': {'n_occurrences': 2, 'pairwise_sims': [0.9509482515970367], 'mean_sim': np.float64(0.9509482515970367)}, 'goed': {'n_occurrences': 2, 'pairwise_sims': [0.9168244929226737], 'mean_sim': np.float64(0.9168244929226737)}}",{}
179910,{},{}
179910,{},{}
179910,{},{}
179910,{},{}
179910,"{'blij': {'n_occurrences': 2, 'pairwise_sims': [0.9199696483682914], 'mean_sim': np.float64(0.9199696483682914)}}",{}
179910,{},{}
179910,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.9280565784427584], 'mean_sim': np.float64(0.9280565784427584)}, 'zin': {'n_occurrences': 2, 'pairwise_sims': [0.9808422066818647], 'mean_sim': np.float64(0.9808422066818647)}}",{}
179910,"{'gezellig': {'n_occurrences': 2, 'pairwise_sims': [0.8720811415679149], 'mean_sim': np.float64(0.8720811415679149)}}",{}
179910,"{'gezellig': {'n_occurrences': 2, 'pairwise_sims': [0.9621904961245725], 'mean_sim': np.float64(0.9621904961245725)}, 'rustig': {'n_occurrences': 2, 'pairwise_sims': [0.9066604074674461], 'mean_sim': np.float64(0.9066604074674461)}}",{}
179910,"{'leuk': {'n_occurrences': 2, 'pairwise_sims': [0.9245883999439918], 'mean_sim': np.float64(0.9245883999439918)}, 'goed': {'n_occurrences': 2, 'pairwise_sims': [0.8979943479684905], 'mean_sim': np.float64(0.8979943479684905)}}",{}
179910,{},{}
179910,"{'rustig': {'n_occurrences': 2, 'pairwise_sims': [0.9638283659488952], 'mean_sim': np.float64(0.9638283659488952)}, 'gezellig': {'n_occurrences': 2, 'pairwise_sims': [0.8840034283081799], 'mean_sim': np.float64(0.8840034283081799)}}",{}
179910,{},{}
179910,"{'verwelkomen': {'n_occurrences': 2, 'pairwise_sims': [0.9192160620857949], 'mean_sim': np.float64(0.9192160620857949)}}",{}
179910,"{'hopen': {'n_occurrences': 2, 'pairwise_sims': [0.8539195782445886], 'mean_sim': np.float64(0.8539195782445886)}}",{}
179910,{},{}
179910,"{'gezellig': {'n_occurrences': 2, 'pairwise_sims': [0.9211511548463317], 'mean_sim': np.float64(0.9211511548463317)}}",{}
179910,"{'fijn': {'n_occurrences': 2, 'pairwise_sims': [0.9265728453872373], 'mean_sim': np.float64(0.9265728453872373)}}",{}
179910,{},{}
179910,{},"{'erg': {'n_occurrences': 2, 'pairwise_sims': [0.9352873351826054], 'mean_sim': np.float64(0.9352873351826054)}}"
179910,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.8916059447251593], 'mean_sim': np.float64(0.8916059447251593)}}",{}
179910,"{'gezellig': {'n_occurrences': 2, 'pairwise_sims': [0.9647280359355478], 'mean_sim': np.float64(0.9647280359355478)}}",{}
179910,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.9523915170934973], 'mean_sim': np.float64(0.9523915170934973)}}",{}
179910,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.8306454262147651], 'mean_sim': np.float64(0.8306454262147651)}, 'grappig': {'n_occurrences': 2, 'pairwise_sims': [0.9204836083067488], 'mean_sim': np.float64(0.9204836083067488)}}",{}
179910,"{'goed': {'n_occurrences': 3, 'pairwise_sims': [0.9239213654691303, 0.8751640570941717, 0.8818778242105137], 'mean_sim': np.float64(0.8936544155912719)}}",{}
179910,{},{}
179910,"{'goed': {'n_occurrences': 4, 'pairwise_sims': [0.8943130297116728, 0.875312641094042, 0.8698311809806115, 0.9484778627953911, 0.8559801895484992, 0.8414935141202079], 'mean_sim': np.float64(0.8809014030417374)}, 'fijn': {'n_occurrences': 2, 'pairwise_sims': [0.9422560990521212], 'mean_sim': np.float64(0.9422560990521212)}, 'zin': {'n_occurrences': 2, 'pairwise_sims': [0.9762603675208684], 'mean_sim': np.float64(0.9762603675208684)}}",{}
179910,{},{}
179910,"{'goed': {'n_occurrences': 5, 'pairwise_sims': [0.8366915264860325, 0.8530153253390316, 0.8575304315023975, 0.8541085070784625, 0.888907935631413, 0.888514789686618, 0.8735586545463275, 0.9155297145706351, 0.8627358084037149, 0.8712976375460795], 'mean_sim': np.float64(0.8701890330790713)}}",{}
179910,"{'leuk': {'n_occurrences': 3, 'pairwise_sims': [0.9329940488290628, 0.8881075149742012, 0.9365391112017384], 'mean_sim': np.float64(0.9192135583350008)}}",{}
179910,"{'goed': {'n_occurrences': 3, 'pairwise_sims': [0.90157025728989, 0.8776702477160697, 0.8785541491008925], 'mean_sim': np.float64(0.8859315513689507)}}",{}
179910,{},{}
179910,{},{}
179910,"{'gelukkig': {'n_occurrences': 2, 'pairwise_sims': [0.809007812562931], 'mean_sim': np.float64(0.809007812562931)}}",{}
179910,{},{}
179910,"{'zin': {'n_occurrences': 2, 'pairwise_sims': [0.955625308343879], 'mean_sim': np.float64(0.955625308343879)}, 'goed': {'n_occurrences': 2, 'pairwise_sims': [0.916131847647654], 'mean_sim': np.float64(0.916131847647654)}}",{}
179910,{},{}
179910,{},{}
179910,{},{}
179910,{},{}
179910,"{'rustig': {'n_occurrences': 2, 'pairwise_sims': [0.9243526966521856], 'mean_sim': np.float64(0.9243526966521856)}}",{}
179910,{},{}
179910,{},{}
179910,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.8837803896498522], 'mean_sim': np.float64(0.8837803896498522)}, 'hopen': {'n_occurrences': 2, 'pairwise_sims': [0.8713846212788886], 'mean_sim': np.float64(0.8713846212788886)}, 'gezellig': {'n_occurrences': 2, 'pairwise_sims': [0.9492827927226967], 'mean_sim': np.float64(0.9492827927226967)}}",{}
179910,"{'fijn': {'n_occurrences': 2, 'pairwise_sims': [0.9127383338884346], 'mean_sim': np.float64(0.9127383338884346)}, 'zin': {'n_occurrences': 2, 'pairwise_sims': [0.9031476430329686], 'mean_sim': np.float64(0.9031476430329686)}}",{}
179910,"{'zin': {'n_occurrences': 3, 'pairwise_sims': [0.7617997592372542, 0.9543835172284835, 0.7883292217913556], 'mean_sim': np.float64(0.8348374994190312)}}",{}
179910,"{'oké': {'n_occurrences': 3, 'pairwise_sims': [0.87915487923929, 0.8636578570365878, 0.9050620035804429], 'mean_sim': np.float64(0.8826249132854403)}}",{}
179910,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.8269654339202007], 'mean_sim': np.float64(0.8269654339202007)}}",{}
179910,"{'prima': {'n_occurrences': 2, 'pairwise_sims': [0.9584701534497002], 'mean_sim': np.float64(0.9584701534497002)}, 'goed': {'n_occurrences': 2, 'pairwise_sims': [0.8960523979869086], 'mean_sim': np.float64(0.8960523979869086)}}",{}
179910,{},{}
179910,{},{}
179910,"{'fijn': {'n_occurrences': 2, 'pairwise_sims': [0.9337200443535508], 'mean_sim': np.float64(0.9337200443535508)}, 'goed': {'n_occurrences': 2, 'pairwise_sims': [0.897550800024426], 'mean_sim': np.float64(0.897550800024426)}}",{}
179910,{},{}
179910,"{'rustig': {'n_occurrences': 2, 'pairwise_sims': [0.9714461079436145], 'mean_sim': np.float64(0.9714461079436145)}}",{}
179910,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.8880570533147388], 'mean_sim': np.float64(0.8880570533147388)}, 'fijn': {'n_occurrences': 2, 'pairwise_sims': [0.9228694189154292], 'mean_sim': np.float64(0.9228694189154292)}}",{}
179910,"{'tevreden': {'n_occurrences': 2, 'pairwise_sims': [0.9094689146468937], 'mean_sim': np.float64(0.9094689146468937)}}",{}
179910,"{'fijn': {'n_occurrences': 3, 'pairwise_sims': [0.9503677413782071, 0.9182290936650078, 0.9243802086968302], 'mean_sim': np.float64(0.9309923479133483)}}",{}
179910,"{'zeker': {'n_occurrences': 2, 'pairwise_sims': [0.9578077374947624], 'mean_sim': np.float64(0.9578077374947624)}}",{}
179910,"{'hopen': {'n_occurrences': 3, 'pairwise_sims': [0.897286761625224, 0.8978520856369566, 0.9410522739834621], 'mean_sim': np.float64(0.9120637070818809)}}",{}
179910,{},{}
179910,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.8829988011582292], 'mean_sim': np.float64(0.8829988011582292)}}",{}
179910,"{'fijn': {'n_occurrences': 2, 'pairwise_sims': [0.9405650963941311], 'mean_sim': np.float64(0.9405650963941311)}, 'goed': {'n_occurrences': 2, 'pairwise_sims': [0.8907997449809746], 'mean_sim': np.float64(0.8907997449809746)}}",{}
179910,{},{}
179910,{},{}
179910,"{'leuk': {'n_occurrences': 2, 'pairwise_sims': [0.9235672821735205], 'mean_sim': np.float64(0.9235672821735205)}}",{}
179910,{},{}
179910,"{'leuk': {'n_occurrences': 2, 'pairwise_sims': [0.9354468316309843], 'mean_sim': np.float64(0.9354468316309843)}, 'goed': {'n_occurrences': 2, 'pairwise_sims': [0.9087705080248569], 'mean_sim': np.float64(0.9087705080248569)}}","{'erg': {'n_occurrences': 2, 'pairwise_sims': [0.9126453526999523], 'mean_sim': np.float64(0.9126453526999523)}}"
179910,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.917161293302696], 'mean_sim': np.float64(0.917161293302696)}}",{}
179910,"{'fijn': {'n_occurrences': 2, 'pairwise_sims': [0.9464930224653922], 'mean_sim': np.float64(0.9464930224653922)}}",{}
179910,"{'goed': {'n_occurrences': 3, 'pairwise_sims': [0.8517006997258241, 0.8208431803696559, 0.8530716221598076], 'mean_sim': np.float64(0.8418718340850958)}}",{}
179910,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.9244502922302755], 'mean_sim': np.float64(0.9244502922302755)}}",{}
179910,"{'goed': {'n_occurrences': 4, 'pairwise_sims': [0.9265763095533768, 0.9318903545388624, 0.8813888752569826, 0.9654231080101864, 0.9061311177559777, 0.9066193770102704], 'mean_sim': np.float64(0.9196715236876094)}}",{}
179910,{},{}
179910,{},{}
179910,{},{}
179910,{},{}
179910,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.911279152222128], 'mean_sim': np.float64(0.911279152222128)}}",{}
179910,"{'goed': {'n_occurrences': 3, 'pairwise_sims': [0.946860430247861, 0.8950468239825239, 0.8914009901328527], 'mean_sim': np.float64(0.9111027481210793)}, 'fijn': {'n_occurrences': 2, 'pairwise_sims': [0.9458098712869643], 'mean_sim': np.float64(0.9458098712869643)}}",{}
179910,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.8446131743947829], 'mean_sim': np.float64(0.8446131743947829)}}",{}
179910,"{'zin': {'n_occurrences': 3, 'pairwise_sims': [0.9481004085406193, 0.9684757241025167, 0.9776368005219093], 'mean_sim': np.float64(0.9647376443883484)}}",{}
179910,{},{}
179910,{},{}
179910,"{'goed': {'n_occurrences': 3, 'pairwise_sims': [0.8905337061915803, 0.8882929007514194, 0.8179337975866177], 'mean_sim': np.float64(0.8655868015098725)}}",{}
179910,{},{}
179910,"{'goed': {'n_occurrences': 3, 'pairwise_sims': [0.8644844712391018, 0.9359893011317163, 0.8630127828122258], 'mean_sim': np.float64(0.8878288517276814)}, 'gezellig': {'n_occurrences': 2, 'pairwise_sims': [0.9614791012414715], 'mean_sim': np.float64(0.9614791012414715)}}",{}
179910,"{'fijn': {'n_occurrences': 2, 'pairwise_sims': [0.928403065183705], 'mean_sim': np.float64(0.928403065183705)}}",{}
179910,"{'rustig': {'n_occurrences': 2, 'pairwise_sims': [0.9072847482042768], 'mean_sim': np.float64(0.9072847482042768)}, 'oké': {'n_occurrences': 2, 'pairwise_sims': [0.9074293834791157], 'mean_sim': np.float64(0.9074293834791157)}}",{}
179910,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.9027525383668347], 'mean_sim': np.float64(0.9027525383668347)}}",{}
179910,"{'interessant': {'n_occurrences': 2, 'pairwise_sims': [0.9090280119900366], 'mean_sim': np.float64(0.9090280119900366)}}",{}
179910,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.9002582409458444], 'mean_sim': np.float64(0.9002582409458444)}}",{}
179910,"{'rustig': {'n_occurrences': 2, 'pairwise_sims': [0.8965068421530408], 'mean_sim': np.float64(0.8965068421530408)}}",{}
179910,{},{}
179910,"{'blij': {'n_occurrences': 2, 'pairwise_sims': [0.9244574088981868], 'mean_sim': np.float64(0.9244574088981868)}}",{}
179910,"{'gezellig': {'n_occurrences': 2, 'pairwise_sims': [0.9732471525841915], 'mean_sim': np.float64(0.9732471525841915)}, 'vieren': {'n_occurrences': 2, 'pairwise_sims': [0.7994140041443117], 'mean_sim': np.float64(0.7994140041443117)}, 'zin': {'n_occurrences': 2, 'pairwise_sims': [0.7269592077478939], 'mean_sim': np.float64(0.7269592077478939)}}",{}
179910,"{'zin': {'n_occurrences': 5, 'pairwise_sims': [0.7137414177630743, 0.9528991313242914, 0.9768870221159172, 0.9494408940612268, 0.7445735824606342, 0.7250997713672566, 0.7230112479877506, 0.9636985763326007, 0.9314020884404338, 0.9512181776356398], 'mean_sim': np.float64(0.8631971909488826)}, 'goed': {'n_occurrences': 2, 'pairwise_sims': [0.9013137943097489], 'mean_sim': np.float64(0.9013137943097489)}}",{}
179910,{},{}
179910,"{'goed': {'n_occurrences': 3, 'pairwise_sims': [0.9053153103271593, 0.8478479726706406, 0.8857849054577638], 'mean_sim': np.float64(0.8796493961518546)}}",{}
179910,{},"{'erg': {'n_occurrences': 2, 'pairwise_sims': [0.853482345197039], 'mean_sim': np.float64(0.853482345197039)}}"
179910,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.8280401373159252], 'mean_sim': np.float64(0.8280401373159252)}}",{}
179910,"{'hopen': {'n_occurrences': 2, 'pairwise_sims': [0.9602030410930303], 'mean_sim': np.float64(0.9602030410930303)}, 'goed': {'n_occurrences': 2, 'pairwise_sims': [0.875807910195408], 'mean_sim': np.float64(0.875807910195408)}}",{}
179910,{},{}
179910,"{'rustig': {'n_occurrences': 2, 'pairwise_sims': [0.8698425801295904], 'mean_sim': np.float64(0.8698425801295904)}, 'vrij': {'n_occurrences': 2, 'pairwise_sims': [0.905010308445275], 'mean_sim': np.float64(0.905010308445275)}}",{}
179910,"{'vrij': {'n_occurrences': 2, 'pairwise_sims': [0.8963396898364376], 'mean_sim': np.float64(0.8963396898364376)}}",{}
179910,{},{}
179910,"{'tevreden': {'n_occurrences': 2, 'pairwise_sims': [0.9336942037390552], 'mean_sim': np.float64(0.9336942037390552)}}",{}
179910,"{'oké': {'n_occurrences': 2, 'pairwise_sims': [0.8317741804502798], 'mean_sim': np.float64(0.8317741804502798)}}",{}
179910,{},{}
179910,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.9212526662212724], 'mean_sim': np.float64(0.9212526662212724)}, 'oké': {'n_occurrences': 4, 'pairwise_sims': [0.9332167697598157, 0.8673113984940553, 0.8798232107219128, 0.8649672562859761, 0.9078764793514783, 0.8224326043775125], 'mean_sim': np.float64(0.8792712864984584)}}",{}
179910,{},{}
179910,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.8737593678544837], 'mean_sim': np.float64(0.8737593678544837)}}",{}
179910,{},{}
179910,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.875628782313629], 'mean_sim': np.float64(0.875628782313629)}}",{}
179910,"{'zin': {'n_occurrences': 3, 'pairwise_sims': [0.960963267015038, 0.936960300966611, 0.9598805027630842], 'mean_sim': np.float64(0.952601356914911)}}","{'erg': {'n_occurrences': 2, 'pairwise_sims': [0.9062602578933469], 'mean_sim': np.float64(0.9062602578933469)}}"
179910,{},{}
179910,"{'interessant': {'n_occurrences': 2, 'pairwise_sims': [0.9234250154483674], 'mean_sim': np.float64(0.9234250154483674)}}",{}
179910,{},{}
179910,"{'gezellig': {'n_occurrences': 2, 'pairwise_sims': [0.9579802701024516], 'mean_sim': np.float64(0.9579802701024516)}}",{}
179910,{},{}
179910,"{'gezellig': {'n_occurrences': 2, 'pairwise_sims': [0.9635732639219978], 'mean_sim': np.float64(0.9635732639219978)}}",{}
179910,{},{}
179910,{},{}
179910,{},{}
179910,{},{}
179910,"{'oké': {'n_occurrences': 2, 'pairwise_sims': [0.9493986117666566], 'mean_sim': np.float64(0.9493986117666566)}}",{}
179910,"{'goed': {'n_occurrences': 5, 'pairwise_sims': [0.9246626603385417, 0.7400570442393944, 0.8015616864519313, 0.8618749120535287, 0.7377473699446782, 0.8233870258895226, 0.8634369258823191, 0.7452036926642804, 0.7673741101242256, 0.9080580005934252], 'mean_sim': np.float64(0.8173363428181848)}}",{}
179910,{},{}
179910,"{'hopen': {'n_occurrences': 2, 'pairwise_sims': [0.9613408621633222], 'mean_sim': np.float64(0.9613408621633222)}}",{}
179910,{},{}
179910,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.8733371670531405], 'mean_sim': np.float64(0.8733371670531405)}, 'zin': {'n_occurrences': 2, 'pairwise_sims': [0.9767134527597547], 'mean_sim': np.float64(0.9767134527597547)}}",{}
179910,{},{}
179910,{},{}
179910,"{'goed': {'n_occurrences': 3, 'pairwise_sims': [0.9265452339170358, 0.9225035173351054, 0.9147213614304859], 'mean_sim': np.float64(0.9212567042275422)}}",{}
179910,"{'overtuigen': {'n_occurrences': 2, 'pairwise_sims': [0.6831762315094287], 'mean_sim': np.float64(0.6831762315094287)}, 'spannend': {'n_occurrences': 2, 'pairwise_sims': [0.9570105097773299], 'mean_sim': np.float64(0.9570105097773299)}, 'benieuwd': {'n_occurrences': 2, 'pairwise_sims': [0.9605467570677405], 'mean_sim': np.float64(0.9605467570677405)}, 'hopen': {'n_occurrences': 2, 'pairwise_sims': [0.9646132562782548], 'mean_sim': np.float64(0.9646132562782548)}}",{}
179910,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.8649834672503932], 'mean_sim': np.float64(0.8649834672503932)}, 'positief': {'n_occurrences': 2, 'pairwise_sims': [0.9376603884066825], 'mean_sim': np.float64(0.9376603884066825)}}",{}
179910,"{'goed': {'n_occurrences': 2, 'pairwise_sims': [0.8640357348966745], 'mean_sim': np.float64(0.8640357348966745)}, 'blij': {'n_occurrences': 2, 'pairwise_sims': [0.9565103490650811], 'mean_sim': np.float64(0.9565103490650811)}, 'positief': {'n_occurrences': 2, 'pairwise_sims': [0.9334179743767301], 'mean_sim': np.float64(0.9334179743767301)}}",{}
